ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,Bears Edible Fruit,Type of Edible Fruit,COUNT,LATITUDE,LONGITUDE,LOCATION,Point Location
448432,DONSDALE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,7,65,2011-06-01,Parks,Yes,Schubert Chokecherry,1,53.48251246,-113.6384829,"(53.48251246041853, -113.63848287480505)",POINT (-113.63848287480505 53.48251246041853)
500925,TERRACE HEIGHTS,Park,Prunus maackii,"Cherry, Amur",Prunus,maackii,,15,65,2014-06-01,Parks,Yes,Amur Chokecherry,1,53.53876063,-113.4297499,"(53.538760633518145, -113.42974993954729)",POINT (-113.42974993954729 53.538760633518145)
335658,GRANDVIEW HEIGHTS,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,9,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.49895159,-113.5468343,"(53.49895158933218, -113.5468343040665)",POINT (-113.5468343040665 53.49895158933218)
336409,GRANDVIEW HEIGHTS,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.50014964,-113.5451137,"(53.500149635135145, -113.54511365672442)",POINT (-113.54511365672442 53.500149635135145)
465230,AMBLESIDE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,2010-05-31,Parks,Yes,Schubert Chokecherry,1,53.43389856,-113.5958192,"(53.43389856014283, -113.59581920007685)",POINT (-113.59581920007685 53.43389856014283)
281235,POTTER GREENS,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,20,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.51791097,-113.6657469,"(53.51791097023782, -113.66574694431588)",POINT (-113.66574694431588 53.51791097023782)
396259,TERWILLEGAR TOWNE,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,20,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.45373937,-113.5826389,"(53.453739369922275, -113.58263894232672)",POINT (-113.58263894232672 53.453739369922275)
195369,STRATHCONA JUNCTION,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,19,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.50291,-113.4948661,"(53.50290999848199, -113.49486609539743)",POINT (-113.49486609539743 53.50290999848199)
489155,RIDEAU PARK,Buffer,Prunus maackii,"Cherry, Amur",Prunus,maackii,,12,65,2009-06-01,Parks,Yes,Amur Chokecherry,1,53.48180389,-113.5153421,"(53.48180389358648, -113.51534208041981)",POINT (-113.51534208041981 53.48180389358648)
338313,STRATHCONA JUNCTION,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,14,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.50202549,-113.4944289,"(53.50202548601264, -113.49442888620283)",POINT (-113.49442888620283 53.50202548601264)
353977,HOLLICK-KENYON,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,11,65,2008-06-01,Parks,Yes,Schubert Chokecherry,1,53.62125842,-113.4203563,"(53.6212584233737, -113.42035629689443)",POINT (-113.42035629689443 53.6212584233737)
430698,HADDOW,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,25,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.45702456,-113.5952165,"(53.45702456086571, -113.59521652517725)",POINT (-113.59521652517725 53.45702456086571)
479990,JAMIESON PLACE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,17,65,2006-06-01,Parks,Yes,Schubert Chokecherry,1,53.48891375,-113.6439826,"(53.48891374816012, -113.64398264399374)",POINT (-113.64398264399374 53.48891374816012)
222131,SHERBROOKE,Buffer,Prunus maackii,"Cherry, Amur",Prunus,maackii,,20,65,1989-12-31,Parks,Yes,Amur Chokecherry,1,53.58093576,-113.5551861,"(53.58093576115906, -113.55518612177735)",POINT (-113.55518612177735 53.58093576115906)
192248,ROSSDALE,Park,Prunus maackii,"Cherry, Amur",Prunus,maackii,,30,65,1989-12-31,Parks,Yes,Amur Chokecherry,1,53.5306884,-113.4909848,"(53.5306884006231, -113.49098476902518)",POINT (-113.49098476902518 53.5306884006231)
230042,STRATHCONA JUNCTION,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,21,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.51054616,-113.4941842,"(53.510546161724925, -113.4941842257125)",POINT (-113.4941842257125 53.510546161724925)
161003,WELLINGTON,Buffer,Prunus maackii,"Cherry, Amur",Prunus,maackii,,21,65,1990-01-01,Parks,Yes,Amur Chokecherry,1,53.59259663,-113.5602872,"(53.592596625324084, -113.56028721547658)",POINT (-113.56028721547658 53.592596625324084)
455141,TERWILLEGAR TOWNE,Boulevard,Prunus maackii,"Cherry, Amur",Prunus,maackii,,20,65,2006-05-31,Parks,Yes,Amur Chokecherry,1,53.45175245,-113.5845459,"(53.45175244636149, -113.5845459010347)",POINT (-113.5845459010347 53.45175244636149)
409786,OLESKIW,Boulevard,Prunus maackii,"Cherry, Amur",Prunus,maackii,,30,65,1990-01-01,Parks,Yes,Amur Chokecherry,1,53.49169956,-113.605756,"(53.49169955633884, -113.6057559662063)",POINT (-113.6057559662063 53.49169955633884)
475547,DONSDALE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,15,65,2003-06-01,Parks,Yes,Schubert Chokecherry,1,53.48424675,-113.6384716,"(53.48424674686466, -113.63847157414696)",POINT (-113.63847157414696 53.48424674686466)
409771,OLESKIW,Boulevard,Prunus maackii,"Cherry, Amur",Prunus,maackii,,33,65,1990-01-01,Parks,Yes,Amur Chokecherry,1,53.49119996,-113.6048106,"(53.49119995625923, -113.6048106358643)",POINT (-113.6048106358643 53.49119995625923)
475285,DONSDALE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,2006-06-01,Parks,Yes,Schubert Chokecherry,1,53.48422707,-113.6380416,"(53.48422707177881, -113.6380416203384)",POINT (-113.6380416203384 53.48422707177881)
339989,STRATHCONA JUNCTION,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,16,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.50436736,-113.49439,"(53.504367361591186, -113.49439001839158)",POINT (-113.49439001839158 53.504367361591186)
