New housing price indexes,Total (house and land),House only,Land only
Jan 00,45.4,47.3,42.1
Feb 00,45.5,47.4,42.1
Mar 00,45.6,47.5,42.2
Apr 00,45.6,47.5,42.2
May 00,45.8,47.8,42.2
June 00,45.7,47.7,42.3
July 00,45.8,47.9,42.3
Aug 00,45.9,47.9,42.7
Sep 00,45.9,47.8,42.8
Oct 00,46.1,47.9,43
Nov 00,46.1,47.9,43
Dec 00,46.1,47.9,43.1
Jan 01,46.2,48,43.1
Feb 01,46.2,48.1,43.2
Mar 01,46.4,48.2,43.3
Apr 01,46.5,48.3,43.4
May 01,46.5,48.3,43.4
June 01,46.8,48.7,43.7
July 01,46.9,48.9,43.7
Aug 01,47,48.9,43.9
Sep 01,47.2,49,44
Oct 01,47.2,49.1,44
Nov 01,47.5,49.4,44.2
Dec 01,47.5,49.6,44.2
Jan 02,47.7,49.8,44.2
Feb 02,48.1,50.3,44.3
Mar 02,48.6,50.9,44.4
Apr 02,48.7,51.2,44.4
May 02,49.2,51.6,44.8
June 02,49.4,52,45
July 02,49.6,52.2,45
Aug 02,49.8,52.4,45.1
Sep 02,49.9,52.6,45.4
Oct 02,50.1,52.7,45.5
Nov 02,50.4,53.1,45.7
Dec 02,50.7,53.4,46
Jan 03,50.8,53.6,46
Feb 03,51,53.9,46.1
Mar 03,51.3,54.1,46.3
Apr 03,51.4,54.3,46.3
May 03,51.5,54.3,46.6
June 03,51.8,54.6,46.7
July 03,51.8,54.7,46.7
Aug 03,51.9,54.8,46.7
Sep 03,52.4,55.3,47.1
Oct 03,52.8,55.8,47.3
Nov 03,53,56.1,47.4
Dec 03,53.4,56.6,47.7
Jan 04,53.4,56.6,47.7
Feb 04,53.5,56.6,47.8
Mar 04,53.8,56.8,48.3
Apr 04,54,57.1,48.4
May 04,54.3,57.5,48.5
June 04,54.7,58,48.8
July 04,54.9,58.1,48.9
Aug 04,55,58.2,49.1
Sep 04,55.3,58.6,49.4
Oct 04,55.5,58.9,49.4
Nov 04,55.6,58.9,49.8
Dec 04,55.7,58.9,49.9
Jan 05,55.9,59.1,50
Feb 05,56.2,59.5,50.1
Mar 05,56.4,59.8,50.2
Apr 05,56.7,60.1,50.4
May 05,56.9,60.3,50.6
June 05,57.7,61.1,51.5
July 05,57.9,61.2,51.7
Aug 05,58.1,61.5,51.9
Sep 05,59.1,62.6,52.5
Oct 05,60.5,64.3,53
Nov 05,61.8,65.9,54.1
Dec 05,63.8,68.3,55
Jan 06,65.1,69.9,55.5
Feb 06,66.1,71.4,55.6
Mar 06,68.8,74.4,57.9
Apr 06,71.5,77.6,59.6
May 06,75,80.8,63.5
June 06,79.1,85.1,67.1
July 06,81.8,87.3,70.6
Aug 06,85.2,90.4,74.5
Sep 06,86.6,91.6,76.5
Oct 06,87,91.8,77.3
Nov 06,88.2,92.5,79.5
Dec 06,88.2,91.9,80.9
Jan 07,89.1,93,81.4
Feb 07,90.1,94.2,82.1
Mar 07,90.7,94.8,82.6
Apr 07,93.2,96.9,85.9
May 07,95,99.4,86.4
June 07,96.1,99.9,88.6
July 07,99.2,102.1,93.4
Aug 07,99.5,102.6,93.6
Sep 07,100,102.9,94.1
Oct 07,100,102.7,94.8
Nov 07,100,102.7,94.8
Dec 07,100.3,102.7,95.6
Jan 08,100.5,102.5,96.5
Feb 08,100.3,102.2,96.6
Mar 08,100.3,101.9,97.2
Apr 08,99.9,101.2,97.4
May 08,98.8,99.9,97.1
June 08,98.5,99,97.7
July 08,98.4,98.8,97.9
Aug 08,97.9,98.1,97.9
Sep 08,98.1,98,98.7
Oct 08,97.1,96,99.9
Nov 08,96.5,95.1,99.9
Dec 08,95.8,94.2,99.5
Jan 09,93.8,92.2,97.4
Feb 09,92.2,90.9,95
Mar 09,91.2,90.3,93.4
Apr 09,90.5,89.5,92.9
May 09,90.2,89.5,91.7
June 09,89.9,89.4,91
July 09,90.2,89.9,91
Aug 09,90.2,90.2,90.4
Sep 09,90.4,90.5,90.5
Oct 09,90.5,90.9,89.7
Nov 09,90.6,91.1,89.9
Dec 09,90.7,91.3,89.5
Jan 10,91,91.9,89.6
Feb 10,91.4,92.1,90.2
Mar 10,91.5,92.5,89.7
Apr 10,91.8,92.6,90.2
May 10,92.1,93.1,90
June 10,92,93,90
July 10,92,93,90
Aug 10,92,93,90
Sep 10,92.1,93.1,90.4
Oct 10,91.9,92.7,90.5
Nov 10,92,92.5,91.1
Dec 10,92.1,92.5,91.1
Jan 11,92.2,92.6,91.3
Feb 11,92.6,92.7,92.3
Mar 11,92.5,92.6,92.2
Apr 11,92.4,92.5,92.1
May 11,92.7,92.8,92.5
June 11,92.8,92.9,92.5
July 11,92.6,92.6,92.6
Aug 11,92.6,92.6,92.6
Sep 11,92.8,93.1,92.1
Oct 11,93,93.4,92.4
Nov 11,93,93.4,92.4
Dec 11,93.1,93.5,92.4
Jan 12,93.2,93.6,92.7
Feb 12,93.4,93.6,93
Mar 12,93.7,94,93.2
Apr 12,93.9,94.2,93.5
May 12,94,94.3,93.6
June 12,94.3,94.6,93.9
July 12,94.4,94.7,93.8
Aug 12,94.4,94.8,93.7
Sep 12,94.6,95,93.9
Oct 12,94.8,95.2,94
Nov 12,94.8,95.3,94
Dec 12,95.2,95.7,94.2
Jan 13,95.4,95.9,94.5
Feb 13,95.8,96.4,94.8
Mar 13,96.1,96.7,94.9
Apr 13,96.4,97.1,95.1
May 13,96.7,97.5,95.3
June 13,97,97.8,95.6
July 13,97.2,98,95.7
Aug 13,97.6,98.4,95.9
Sep 13,97.6,98.5,95.9
Oct 13,97.7,98.6,95.9
Nov 13,97.8,98.7,96.1
Dec 13,97.8,98.8,96.1
Jan 14,98.5,99.5,96.5
Feb 14,98.9,100.1,96.6
Mar 14,99.2,100.5,96.7
Apr 14,99.4,100.6,97
May 14,99.9,101.1,97.4
June 14,100,101.3,97.5
July 14,100.1,101.4,97.5
Aug 14,100.4,101.5,98.1
Sep 14,100.5,101.6,98.4
Oct 14,100.6,101.7,98.4
Nov 14,100.8,101.9,98.5
Dec 14,100.8,101.9,98.5
Jan 15,100.7,101.8,98.5
Feb 15,100.8,101.8,98.6
Mar 15,100.6,101.4,98.7
Apr 15,100.4,101.2,98.7
May 15,100.5,101.3,98.7
June 15,100.5,101,99.2
July 15,100.4,101,99.1
Aug 15,100.4,101,99.1
Sep 15,100.3,100.9,99.1
Oct 15,100.5,101.1,99.1
Nov 15,100.4,101.1,99.1
Dec 15,100.5,101.1,99.1
Jan 16,100.4,101.1,99.1
Feb 16,100.2,100.8,99
Mar 16,100.2,100.8,99
Apr 16,100.2,100.8,99
May 16,100.3,100.6,99.7
June 16,99.9,100,99.6
July 16,100,100.1,99.7
Aug 16,99.9,100,99.7
Sep 16,99.7,99.8,99.7
Oct 16,99.7,99.7,99.7
Nov 16,99.8,99.8,99.9
Dec 16,100,100,100
Jan 17,100,100,100
Feb 17,100,100.1,99.8
Mar 17,100,100.1,99.8
Apr 17,100.1,100.2,99.8
May 17,99.9,100,99.8
June 17,99.9,99.9,99.8
July 17,100.2,100.2,100.1
Aug 17,100.3,100.3,100.1
Sep 17,100.3,100.2,100.3
Oct 17,100.3,100.3,100.3
Nov 17,100.4,100.4,100.3
Dec 17,100.3,100.2,100.3
Jan 18,100.3,100.2,100.4
Feb 18,100,99.8,100.4
Mar 18,99.9,99.6,100.4
Apr 18,99.9,99.5,100.5
May 18,99.8,99.5,100.5
June 18,100,99.7,100.7
July 18,100.1,99.8,100.7
Aug 18,99.7,99.4,100.6
Sep 18,99.7,99.2,100.6
Oct 18,99.6,99.2,100.6
Nov 18,99.6,99.1,100.7
Dec 18,99.7,99.2,100.7
Jan 19,99.6,99.1,100.6
Feb 19,99.5,99,100.7
Mar 19,99.4,98.9,100.7
Apr 19,99.2,98.4,100.7
May 19,99,98.2,100.7
June 19,98.5,97.5,100.6
July 19,98.2,97.2,100.4
Aug 19,98.3,97.2,100.4
Sep 19,98.3,97.3,100.4
Oct 19,98.2,97,100.4
Nov 19,97.7,96.3,100.3
Dec 19,97.9,96.6,100.4
Jan 20,97.9,96.4,100.7
Feb 20,98,96.6,100.8
Mar 20,98,96.4,100.6
Apr 20,97.8,96.2,100.5
May 20,97.9,96.2,100.5
June 20,97.8,96.2,100.4
July 20,97.5,95.8,100.3
Aug 20,97.6,95.8,100.4
Sep 20,98,96.5,100.4
Oct 20,98.3,96.9,100.8
Nov 20,98.8,97.5,100.7
Dec 20,98.7,97.4,100.7
