sourceid,dstid,hod,ride time
33,135,7,38.898
132,12,7,18.252
130,32,7,36.07566667
131,22,7,24.783
66,2,18,34.86666667
16,93,11,28.17316667
19,63,11,10.98166667
17,83,11,20.182
18,73,11,20.63166667
30,38,18,20.44616667
32,18,18,23.6895
31,28,18,12.8385
64,89,13,20.1515
68,49,13,24.74666667
65,79,13,20.34166667
69,39,13,26.2215
66,69,13,28.3715
85,118,11,20.89783333
86,108,11,21.06633333
84,128,11,31.68966667
83,138,11,22.87216667
132,13,22,18.7645
130,33,22,21.8405
131,23,22,26.022
88,85,1,22.48
87,95,1,14.501
67,59,13,32.381
103,4,10,35.36666667
82,139,7,11.49516667
84,119,7,32.07416667
119,123,13,24.5575
83,129,7,9.626
118,133,13,32.17833333
85,109,7,35.306
88,138,6,12.57933333
68,1,7,6.2825
30,28,1,29.108
89,128,6,26.32366667
31,18,1,22.24666667
81,28,23,10.40766667
80,38,23,25.73833333
82,18,23,8.049333333
128,118,13,2.978166667
81,14,4,4.0395
80,24,4,22.46383333
136,76,15,16.01116667
87,4,23,14.05566667
129,108,13,27.69733333
139,46,15,23.38783333
141,89,15,30.5895
135,86,15,22.50883333
126,138,13,11.413
138,56,15,28.41183333
127,128,13,23.87866667
137,66,15,27.90416667
134,96,15,29.1695
10,105,17,36.438
85,2,15,21.21383333
61,102,2,11.2545
53,105,12,29.39816667
51,125,12,15.86333333
109,96,21,20.5725
52,115,12,23.86916667
124,6,21,15.15383333
92,116,11,24.67333333
93,106,11,27.52233333
91,126,11,25.293
50,135,12,17.68583333
90,136,11,23.1025
47,131,16,9.891333333
48,121,16,26.44033333
46,141,16,17.536
49,111,16,16.15066667
61,122,14,19.2485
62,112,14,16.37283333
119,140,14,16.76883333
109,128,9,29.4675
108,138,9,26.65
77,92,9,20.763
78,82,9,4.9895
140,13,11,18.99716667
72,125,1,9.297
73,115,1,8.820333333
74,105,1,16.57116667
71,135,1,19.66333333
28,122,17,27.9165
27,132,17,35.06833333
119,73,7,25.00983333
117,93,7,57.068
118,83,7,22.675
36,17,3,8.079333333
32,57,3,22.16233333
30,77,3,8.961
33,44,12,25.5695
30,74,12,32.21883333
31,64,12,24.15
31,67,3,18.91483333
35,24,12,27.7945
36,14,12,16.57583333
32,54,12,27.609
141,98,21,30.04983333
68,113,7,45.985
67,123,7,12.673
69,103,7,20.8225
139,137,8,25.80033333
33,47,3,22.0615
100,15,21,21.09516667
80,67,5,9.146333333
85,17,5,25.42783333
81,57,5,3.397166667
82,47,5,24.5935
110,82,22,28.10116667
112,62,22,11.57033333
116,22,22,28.92083333
62,119,11,20.6035
61,129,11,38.99333333
60,139,11,16.3275
115,32,22,26.17433333
117,12,22,25.0365
46,4,18,10.0005
114,42,22,10.6555
111,72,22,8.297333333
113,52,22,19.8685
76,66,15,25.93933333
78,46,15,34.75283333
63,42,17,18.04933333
66,12,17,20.99183333
62,52,17,9.1195
75,76,15,31.53483333
64,32,17,16.26116667
77,56,15,30.81983333
132,107,12,30.31666667
65,22,17,20.77316667
60,124,19,17.26716667
62,104,19,29.31483333
130,127,12,23.0625
75,102,19,16.10983333
73,122,19,26.73133333
72,132,19,30.72833333
41,31,17,23.3215
40,41,17,24.11333333
43,11,17,38.4475
60,27,5,10.964
42,21,17,35.4215
74,86,15,22.113
60,72,17,35.16666667
135,11,11,20.79816667
133,31,11,9.753666667
36,129,17,27.58883333
131,51,11,12.45133333
38,109,17,22.361
130,61,11,21.7155
37,119,17,46.03333333
27,93,19,19.94066667
28,83,19,12.342
29,73,19,34.53333333
132,41,11,2.512166667
42,3,19,26.07133333
