Ministry,Year,PositionTitle,PositionClass,BaseSalary,CashBenefits,NonCashBenefits,Severance
Advanced Education,2020,ED Strategic Policy & Planning,Assistant Deputy Minister,148725.46,0,30874.5,0
Advanced Education,2020,"Dir.,Strategic Int Pol Branch",Senior Manager Zone 2,117727.74,0,22550.86,0
Advanced Education,2020,"Executive Director, Innovation",Executive Manager 1,133591.64,0,28524.43,0
Advanced Education,2020,"Dir, AIT Industry Prog & Stand",Senior Manager Zone 2,133317.86,0,28502.65,0
Advanced Education,2020,"Director, Strategy & Planning",Senior Manager Zone 1,124626.61,6139.24,26225.56,0
Advanced Education,2020,"Sr Mgr, ATOMS Shared Svcs",Senior Manager Zone 1,118938.56,0,26499.22,0
Advanced Education,2020,"DM, Advanced Education",Snr Officer Deputy Minister,285877.28,7969.26,60870.31,0
Advanced Education,2020,"AIT Officer, Area Supv",Stds Safety and Compliance 6,116604.26,109.76,21858.22,0
Advanced Education,2020,Associate Regional Director,Senior Manager Zone 1,120731.77,0,22592.61,0
Advanced Education,2020,"Exec Dir., ASA Policy & Stand",Executive Manager 1,165318.77,0,31323.95,0
Advanced Education,2020,"Sr Mgr, Business Integration",Senior Manager Zone 1,115724.7,0,25702.6,0
Advanced Education,2020,"Sr. Dir.,StrategicPolicy",Senior Manager Zone 2,133317.86,0,29333.74,0
Advanced Education,2020,Dir Financial and Admin Oper,Senior Manager Zone 2,138445.48,15736.45,27559.4,0
Advanced Education,2020,Dir. Capital Plan & Grant Mgmt,Senior Manager Zone 2,133317.87,0,28149.19,0
Advanced Education,2020,"ADM, ASA",Assistant Deputy Minister,180466.78,11855.28,36800.08,0
Advanced Education,2020,Cross Ministry & Intergov Stra,Senior Manager Zone 2,133317.86,250,28039.05,0
Advanced Education,2020,"Dir, Strat Research & Analysis",Senior Manager Zone 1,115733.8,0,24974.58,0
Advanced Education,2020,"Executive Director, Transformation",Executive Manager 1,132056.23,0,28061.07,0
Advanced Education,2020,"Director, Business Integration",Senior Manager Zone 2,124647.55,0,27474.22,0
Advanced Education,2020,"Dir, Board Intergovtl Conn",Senior Manager Zone 2,133317.86,0,28703.5,0
Advanced Education,2020,Director Post-Sec Programs,Senior Manager Zone 2,123874.14,0,27373.08,0
Advanced Education,2020,"Dir, Client Svcs",Senior Manager Zone 2,133317.86,0,25994.56,0
Advanced Education,2020,Sr. Manager CAQC Secretariat,Senior Manager Zone 1,115724.7,0,26051.5,0
Advanced Education,2020,"Dir, Operational Data & Info",Senior Manager Zone 1,113829.82,0,24706.65,0
Advanced Education,2020,Chief of Staff,Senior Manager Zone 2,146649.62,0,26232.59,0
Advanced Education,2020,AIT Officer,Stds Safety and Compliance 4,115884.47,6000,19720.29,0
Advanced Education,2020,"AIT Officer, Area Supv",Stds Safety and Compliance 6,116436.76,0,23825.35,0
Advanced Education,2020,"Director, Strategy & Planning",Senior Manager Zone 2,137932.71,0,24954.62,0
Advanced Education,2020,"Senior Manager, IPS",Senior Manager Zone 1,118938.56,16910.1,26791.66,0
Advanced Education,2020,Dir Business Transformations,Senior Manager Zone 2,138445.48,0,28703.51,0
Advanced Education,2020,"Director, Student Services",Senior Manager Zone 2,133317.86,400,7328.46,0
Advanced Education,2020,A.D.M.  ALCP,Assistant Deputy Minister,200224.18,0,42978.92,0
Advanced Education,2020,Director Financial Planning,Senior Manager Zone 2,138445.48,0,24923.63,0
Advanced Education,2020,"Sr Manager, Learner Pathways",Senior Manager Zone 1,118938.56,0,25426.33,0
Advanced Education,2020,"Dir.,Strategic Planning & Eval",Executive Manager 1,133317.86,0,28149.18,0
Advanced Education,2020,AIT Officer,Stds Safety and Compliance 4,116611.23,0,7085.96,0
Advanced Education,2020,"Dir, Legislation & Governance",Senior Manager Zone 1,118938.56,27447.36,26892.98,0
Advanced Education,2020,Senior Investigator,Program Services 4,114348.21,0,22975.18,0
Advanced Education,2020,Executive Director Student Financial Services,Executive Manager 1,126200.73,0,26765.69,0
Advanced Education,2020,"Dir., Division Operations",Senior Manager Zone 1,118938.56,0,26678.36,0
Advanced Education,2020,"Dir,Foundational Learning Supp",Senior Manager Zone 1,128187.41,0,26695.58,0
