Name,Company,Position,Salary,Share-based Awards,Option-based Awards,Non-Equity Incentive Plan Compensation,Pension Value,All Other Compensation,Total Compensation 2019
José Cil*,Restaurant Brands Intl Inc,CEO and Former President  Burger King,$1030899,$24861135,-,$1511632,-,$78741,$27482409
Donald J. Walker*,Magna International Inc,Chief Executive Officer,$431243,$9474066,$6316044,$7689386,-,$246803,$24157541
D. Mark Bristow*,Barrick Gold Corp,President and Chief Executive Officer,$2388420,$11989933,-,$7165260,$1433052,$69913,$23046578
Joseph C. Papa*,Bausch Health Companies Inc,Chief Executive Officer,$1990350,$13649335,$2653797,$4299156,-,$152612,$22745250
Geoffrey T. Martin*,CCL Industries,President and Chief Executive Officer,$1576800,$14615737,$1665861,$1446109,$454618,-,$19759124
James C. Smith*,Thomson-Reuters Corp,Former President and Chief Executive Officer,$2123040,$8757555,$2919180,$5280850,$-127382,$51953,$19005195
Irwin D. Simon*,Aphria Inc,Chief Executive Officer,$2556971,$11955963,-,$3921309,-,-,$18434244
Al Monaco,Enbridge Inc,President & Chief Executive Officer,$1592878,$6129560,$3327732,$3687712,$3195000,$60502,$17993384
Sachin Shah,Brookfield Renewable Partners,Chief Executive Officer of the Service Provider,$600000,$16397108,-,$300000,-,$39861,$17336969
Doug Suttles*,Ovintiv Inc (formerly Encana),Chief Executive Officer,$1459590,$9727840,$3242617,$1882871,-,$366738,$16679656
Chuck Magro*,Nutrien Ltd,CEO,$1673204,$6144301,$5441955,$2328430,$683108,$137818,$16408816
Keith E. Creel*,Canadian Pacific Railway Ltd,President and Chief Executive Officer,$1537866,$5870208,$3642061,$2978994,$566343,$554929,$15150402
Michael Gorenstein,Cronos Group Inc,CEO,$422663,-,$14589642,-,-,$19915,$15032220
Roy Gori,Manulife Financial Corp,President and CEO,$1461167,$5175576,$2218104,$4902130,$813100,$125472,$14695549
Gerald W. Schwartz*,Onex Corp,Chief Executive Officer,$1724970,-,$6711103,$6113448,-,-,$14549521
Serge Godin,CGI Group Inc,Founder and Executive Chairman of the Board,$1375000,$10070801,-,$2612500,-,$55548,$14113849
Tobias Lütke*,Shopify Inc.,CEO,$817264,-,$13269042,-,-,-,$14086307
L. Scott Thompson,Finning International Inc,President and,$993429,$11000000,$750000,$850928,$224166,$71521,$13890044
David McKay,Royal Bank Of Canada,President and,$1500000,$6930000,$1732500,$2607800,$877000,$46603,$13693903
Russell Girling,TC Energy Corporation,President & CEO,$1412508,$5160000,$3440000,$2492114,$922000,$14125,$13440747
Darren Entwistle,Telus Corp,President and Chief Executive Officer (CEO),$1375000,$9977765,-,$727765,$711000,$129334,$12920864
Calin Rovinescu,Air Canada,President and Chief Executive Officer,$1400000,$3550000,$3550000,$3496500,$875400,-,$12871900
N. Murray Edwards,Canadian Natural Resources Ltd,Executive Chair,$1,-,$2047500,$10773000,-,-,$12819901
Alexandre Macedo,Restaurant Brands Intl Inc,Former President Tim Hortons,$782170,$11553319,-,-,-,$349272,$12684761
Bharat Masrani,Toronto Dominion Bank,Group President and Chief,$1435097,$5461170,$2689841,$2025000,$907300,$118161,$12636569
George A. Cope,BCE Inc,President and CEO BCE,$1400000,$5156250,$1718750,$3462900,$704195,$193666,$12635761
Brian J. Porter,Bank Of Nova Scotia,President and,$1300000,$5587200,$1396800,$2328000,$2018000,$3496,$12633496
R. Jeffrey Orr,Power Financial Corp,President and Chief Executive Officer,$4776000,$2827515,$2546246,-,$1861000,$534034,$12544797
Linda Hasenfratz,Linamar Corp,Chief Executive Officer,$649350,$2345500,-,$8559180,$3500,$875796,$12433326
Robert A. Mionis*,Celestica Inc,President and Chief Executive Officer,$1260555,$9553680,-,$508948,$174952,$917358,$12415493
Sean Boyd,Agnico-Eagle Mines Ltd,Vice-Chairman and Chief Executive Officer,$1750000,$5497999,-,$4500000,$528130,$25648,$12301778
Bradley S.Shaw,Shaw Communications Inc,Chief Executive Officer,$2000000,$1766453,$127715,$5465813,$1420230,$1206710,$11986921
Mark S. Little,Suncor Energy Inc,President and Chief Executive Officer,$1145769,$3574991,$3560807,$1700000,$1651100,$86017,$11718684
Joe Natale,Rogers Communications,President and Chief Executive Officer,$1305894,$4000192,$4000031,$1500000,$683100,$214733,$11703950
Darryl White,Bank Of Montreal,Chief Executive Officer,$1000000,$4700000,$1410000,$2350000,$1386790,$3000,$10849790
Alain Bédard,TFI International,CEO,$1857660,$2129807,$2129807,$3790453,$839600,$82995,$10830322
Mark J. Barrenechea*,Open Text Corp,Vice Chair  Chief Executive Officer and Chief Technology Officer,$1260555,$4901481,$1868010,$2694436,-,$22975,$10747457
Rod N. Baker,Great Canadian Gaming Corp,President and Chief Executive Officer,$880769,-,$9218371,$528462,$13615,$1855,$10643072
